date,cust_num,cust_name,item_id,amount,quantity,status,source
2024-01-01,1146,SHOPIFY - WILDE WEB SITE,2264,386.1,4.0,closed,direct
2024-01-01,1146,SHOPIFY - WILDE WEB SITE,2260,99.0,1.0,closed,direct
2024-01-01,1146,SHOPIFY - WILDE WEB SITE,2232,171.1,3.0,closed,direct
2024-01-01,1002,Amazon,1465,29.99,1.0,closed,direct
2024-01-01,1146,SHOPIFY - WILDE WEB SITE,2267,168.0,6.0,closed,direct
2024-01-01,1146,SHOPIFY - WILDE WEB SITE,2242,218.3,4.0,closed,direct
2024-01-01,1146,SHOPIFY - WILDE WEB SITE,2261,89.1,1.0,closed,direct
2024-01-01,1146,SHOPIFY - WILDE WEB SITE,2223,275.0,5.0,closed,direct
2024-01-02,1146,SHOPIFY - WILDE WEB SITE,2221,134.95,5.0,closed,direct
2024-01-02,1146,SHOPIFY - WILDE WEB SITE,2223,786.5,15.0,closed,direct
2024-01-02,1009,Target,1453,11304.0,314.0,closed,direct
2024-01-02,1146,SHOPIFY - WILDE WEB SITE,2232,1139.5900000000001,20.0,closed,direct
2024-01-02,1005,"Kehe Distributors, LLC",1453,297.6,8.0,closed,direct
2024-01-02,1146,SHOPIFY - WILDE WEB SITE,2267,215.6,8.0,closed,direct
2024-01-02,1146,SHOPIFY - WILDE WEB SITE,2266,663.3,7.0,closed,direct
2024-01-02,1146,SHOPIFY - WILDE WEB SITE,2233,631.3000000000001,11.0,closed,direct
2024-01-02,1146,SHOPIFY - WILDE WEB SITE,2275,347.16999999999996,13.0,closed,direct
2024-01-02,1005,"Kehe Distributors, LLC",1463,3808.0,280.0,closed,direct
2024-01-02,1005,"Kehe Distributors, LLC",1459,5985.0,105.0,closed,direct
2024-01-02,1146,SHOPIFY - WILDE WEB SITE,2220,53.98,2.0,closed,direct
2024-01-02,1146,SHOPIFY - WILDE WEB SITE,2277,28.0,1.0,closed,direct
2024-01-02,1002,Amazon,2213,912.87,63.0,closed,direct
2024-01-02,1002,Amazon,2271,61.98,2.0,closed,direct
2024-01-02,1009,Target,1867,10980.0,305.0,closed,direct
2024-01-02,1005,"Kehe Distributors, LLC",1462,272.0,20.0,closed,direct
2024-01-02,1008,Costco Wholesale,1473,110016.0,60.0,closed,direct
2024-01-02,1005,"Kehe Distributors, LLC",1472,2880.0,60.0,closed,direct
2024-01-02,1002,Amazon,1465,479.8400000000001,16.0,closed,direct
2024-01-02,1002,Amazon,2211,674.5500000000003,45.0,closed,direct
2024-01-02,1146,SHOPIFY - WILDE WEB SITE,2268,196.0,7.0,closed,direct
2024-01-02,1015,Walmart,1457,5130.0,90.0,closed,direct
2024-01-02,1005,"Kehe Distributors, LLC",1460,7980.0,140.0,closed,direct
2024-01-02,1146,SHOPIFY - WILDE WEB SITE,2217,404.85,15.0,closed,direct
2024-01-02,1002,Amazon,2224,1499.0000000000002,100.0,closed,direct
2024-01-02,1005,"Kehe Distributors, LLC",2331,15960.0,280.0,closed,direct
2024-01-02,1146,SHOPIFY - WILDE WEB SITE,2261,1138.5,12.0,closed,direct
2024-01-02,1015,Walmart,1459,6897.0,121.0,closed,direct
2024-01-02,1005,"Kehe Distributors, LLC",1456,3990.0,70.0,closed,direct
2024-01-02,1146,SHOPIFY - WILDE WEB SITE,1491,29.97,3.0,closed,direct
2024-01-02,1002,Amazon,2332,569.85,15.0,closed,direct
2024-01-02,1009,Target,1452,9396.0,261.0,closed,direct
